Scope,Resource,Context,Ownership,Limit,Method,URL,Group,Membership,[No Role],Worker,User,Business,Admin,Worker,Supervisor,Maintainer,Owner,Comment
View annotations,Task,Organization,None,,GET,/tasks/{id}/annotations,User,Maintainer,,,x,x,x,,,x,x,
View annotations,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/annotations,None,Worker,x,x,x,x,x,x,x,x,x,
Update annotations,Task,Sandbox,None,,"PATCH, PUT",/tasks/{id}/annotations,Admin,N/A,,,,,x,,,,,
Update annotations,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,"PATCH, PUT",/tasks/{id}/annotations,Worker,Worker,,x,x,x,x,x,x,x,x,
Update annotations,Task,Organization,None,,"PATCH, PUT",/tasks/{id}/annotations,User,Maintainer,,,x,x,x,,,x,x,
Update annotations,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,"PATCH, PUT",/tasks/{id}/annotations,Worker,Worker,,x,x,x,x,x,x,x,x,
Delete annotations,Task,Sandbox,None,,DELETE,/tasks/{id}/annotations,Admin,N/A,,,,,x,,,,,
Delete annotations,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,DELETE,/tasks/{id}/annotations,Worker,Worker,,x,x,x,x,x,x,x,x,
Delete annotations,Task,Organization,None,,DELETE,/tasks/{id}/annotations,User,Maintainer,,,x,x,x,,,x,x,
Delete annotations,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,DELETE,/tasks/{id}/annotations,Worker,Worker,,x,x,x,x,x,x,x,x,
Export dataset,Task,Sandbox,None,,GET,/tasks/{id}/dataset,Admin,N/A,,,,,x,,,,,
Export dataset,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/dataset,None,Worker,x,x,x,x,x,x,x,x,x,
Export dataset,Task,Organization,None,,GET,/tasks/{id}/dataset,User,Maintainer,,,x,x,x,,,x,x,
Export dataset,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/dataset,None,Worker,x,x,x,x,x,x,x,x,x,
View data,Task,Sandbox,None,,GET,/tasks/{id}/data,Admin,N/A,,,,,x,,,,,
View data,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/data,None,N/A,x,x,x,x,x,,,,,
View data,Task,Organization,None,,GET,/tasks/{id}/data,User,Maintainer,,,x,x,x,,,x,x,
View data,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/data,None,Worker,x,x,x,x,x,x,x,x,x,
Upload data,Task,Sandbox,None,,POST,/tasks/{id}/data,Admin,N/A,,,,,x,,,,,
Upload data,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,POST,/tasks/{id}/data,Worker,N/A,,x,x,x,x,,,,,
Upload data,Task,Organization,None,,POST,/tasks/{id}/data,User,Maintainer,,,x,x,x,,,x,x,
Upload data,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,POST,/tasks/{id}/data,Worker,Worker,,x,x,x,x,x,x,x,x,
View data info,Task,Sandbox,None,,GET,/tasks/{id}/data/meta,Admin,N/A,,,,,x,,,,,
View data info,Task,Sandbox,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/data/meta,None,N/A,x,x,x,x,x,,,,,
View data info,Task,Organization,None,,GET,/tasks/{id}/data/meta,User,Maintainer,,,x,x,x,,,x,x,
View data info,Task,Organization,"Owner, Project owner, Assignee, Project assignee",,GET,/tasks/{id}/data/meta,None,Worker,x,x,x,x,x,x,x,x,x,
Move a task to a project within the same organization,"(Scope = Update the project, Resource = Task, Context1, Ownership1) && (Scope = Create inside a project,  Resource = Task, Context2, Ownership2) && Context1 == Context2",,,,,,,,,,,,,,,,,
Move a task outside a project within the same organization,"(Scope = Update the project, Resource = Task, Context1, Ownership1) && (Scope = Create outside a project,  Resource = Task, Context2, Ownership2) && Context1 == Context2",,,,,,,,,,,,,,,,,
